"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000025800",1864.78333831374,-0.147791867152804,0.106812711161157,-1.38365430056183,0.166464332960685,0.432006062204374
"ENSG00000026025",29588.8081515083,0.373354471681881,0.17516527909937,2.13144108011314,0.0330528215965811,0.15072186480374
"ENSG00000026036",42.7034564671751,0.367743810839175,0.351289956694854,1.04683838473245,0.295174123519017,0.597171367481188
"ENSG00000026103",1096.80376144806,0.0450435560696826,0.135113861453695,0.33337479652389,0.738851385554435,0.90931520802218
"ENSG00000026297",95.6763350248634,0.439096980012181,0.173176284790893,2.53554914024389,0.0112271175484601,0.0685546641811431
"ENSG00000026508",20349.2656754609,0.167357803398796,0.174312046814995,0.960104631072461,0.337002557943828,0.641466205323421
"ENSG00000026559",15.5510681741122,0.630024608871656,0.568322267313361,1.10856928385013,0.267616035022798,0.566203399101721
"ENSG00000026652",343.209708179029,0.162509656951052,0.206242227691437,0.787955302704476,0.430722851126712,0.721156880978415
"ENSG00000026950",733.905866082216,0.885331541375663,0.13946649822035,6.34798717020117,2.18150270767585e-10,1.45302516746189e-08
"ENSG00000027001",526.281051876543,0.344845032203539,0.158057509417868,2.18176936656548,0.029126558495109,0.137834265553628
"ENSG00000027075",80.8054055242779,-1.13517538314706,0.495330512463337,-2.29175339411597,0.021919877423451,0.112216409455365
"ENSG00000027697",1439.30922607144,-0.403430970009877,0.137130341243456,-2.9419526441172,0.00326149798893347,0.0264378340337842
"ENSG00000027847",438.559789952187,0.122698445218763,0.146105251239836,0.83979490249361,0.401023392059565,0.696647885122557
"ENSG00000028116",191.864228757999,-0.200998455821201,0.151435288709773,-1.32728941539125,0.184412963828807,0.457547201545672
"ENSG00000028137",518.890387691079,-0.809605764309688,0.215137868181305,-3.76319506720872,0.000167756246397443,0.00233787685844806
"ENSG00000028203",1184.52322497954,-0.00633987137361801,0.17520002160526,-0.0361864759805924,0.97113366953187,0.992152964403204
"ENSG00000028277",34.4565137143708,2.01664428227798,0.520702608134282,3.87292909767396,0.000107535118985676,0.00160346810754197
"ENSG00000028310",567.441907640895,-0.0239968649308725,0.126629590183091,-0.189504403324498,0.849697504273033,0.95171306629091
"ENSG00000028528",3490.09228869228,0.072820108166952,0.0781394578700059,0.931924921824987,0.351375327033915,0.6549919538917
"ENSG00000028839",420.292072187562,0.337617695597406,0.137679267273842,2.45220433172329,0.0141984010559232,0.0813254606165538
"ENSG00000029153",251.071227709101,0.031613616711174,0.141389831800409,0.223591868726464,0.823074891315508,0.942473095387772
"ENSG00000029363",3229.5066200738,0.0467263590785326,0.0950088727058552,0.491810477777124,0.622853328769081,0.847482820676638
"ENSG00000029364",1391.88356213436,0.116280523230888,0.106302485434676,1.09386457668803,0.274014376786024,0.573544665145748
"ENSG00000029534",88.1078452200668,0.197344522013608,0.404561088478409,0.487799068258984,0.625692171443856,0.848428735970114
"ENSG00000029639",108.157954954936,0.0150802133271499,0.192255067778406,0.0784385738249118,0.937479190562089,0.981380639108035
"ENSG00000029725",1613.27263871796,-0.00695771859695828,0.110843122555088,-0.0627708642320173,0.949948967075382,0.985412278070695
"ENSG00000029993",586.909186954819,0.379331087577855,0.167678196239681,2.26225648942236,0.0236815609907167,0.1187547344849
"ENSG00000030066",918.795798315147,-0.0409820021647521,0.105859884628152,-0.387134392869472,0.698656717119445,0.891767897933686
"ENSG00000030110",179.25003387228,-0.136340795989155,0.145375372654586,-0.937853458254604,0.34831972408199,0.652006360501484
"ENSG00000030304",28.9063662969331,-0.0827018422926041,0.411062299119369,-0.201190531142794,0.840549595172227,0.948027592069131
"ENSG00000030419",227.215570161761,-0.36205494651424,0.227211543757032,-1.59347073888729,0.111054627537275,0.339059097925988
"ENSG00000030582",11064.241617491,0.183615207485777,0.126173908023909,1.45525497594149,0.145598686225478,0.400025590533263
"ENSG00000031003",1128.0172973182,-0.0464586550316889,0.126002814683796,-0.368711247826304,0.712342964022907,0.897595061022219
"ENSG00000031081",329.240416297212,0.682368792827195,0.218700502893869,3.12010618996307,0.00180785854091426,0.0165921849978438
